gene,correlation,rmse,n_samples
HAUS3,0.5894000509765132,5.03088880492456,10
AC136297.1,0.5888100364366584,0.15514852478314892,10
RTCA-AS1,0.5881295102050421,0.5177597581551117,10
AC025165.5,0.5878148743237785,6.315649020316521,10
AC107214.1,0.5874548501383069,0.8050486047519961,10
P2RX6,0.5871641991767306,0.15790528267415174,10
IFT81,0.5869767574570204,9.610705347726771,10
ZNF569,0.5863495321475067,5.898554433338891,10
NCMAP,0.5857535734598542,46.75987614374682,10
C12orf42,0.5856682483144815,0.12075992821418366,10
SIPA1L1,0.5854658891871234,13.938594101000467,10
AGAP2-AS1,0.5854305170182469,2.294874442571761,10
AL035587.1,0.5847870286099397,4.0930681033337075,10
PLGLB1,0.5845229518408855,0.07079336502094365,10
AC078777.1,0.5840121623901744,0.4768807914581579,10
Z97192.4,0.583843385661778,0.14535043832837458,10
AC092809.2,0.5837805038715251,0.1834061909402353,10
UBE2K,0.5833571067760512,83.48426576455498,10
MED14,0.5831245965792659,22.994794707002523,10
AC006252.1,0.5827160548160489,0.5040876336668378,10
RTCB,0.58230585744392,141.29453973358406,10
RASGRP1,0.5822002361537093,23.11488096617864,10
A4GALT,0.5821485349582562,46.262423694216714,10
GNL3L,0.5817468155512597,16.09597511420154,10
RSBN1L,0.5816984226369253,20.373556461994692,10
BDKRB1,0.5816879576414975,0.601623591463188,10
AC139019.1,0.581556024391422,0.5346966965080965,10
C2orf74,0.5815314212756347,0.5536722332233268,10
AL731702.1,0.5815298419232097,1.059424995926201,10
MTCL1,0.5810434829845383,12.131590100356032,10
NPIPB11,0.5808805538923544,0.3424999706117122,10
S100A12,0.5807980239029574,2.3017967118108724,10
CERCAM,0.5807417343687885,52.85641003230809,10
AL512329.2,0.5800060288458669,17.901156206403297,10
TENT4B,0.5799958857132452,10.654921750427972,10
AC018462.1,0.5798412772498582,0.14474835710085399,10
AC008687.4,0.5797363615414395,0.06958321516745489,10
PIGZ,0.5793008685186531,5.507379514120983,10
NECAB2,0.5790445159621506,1.45945976203419,10
FNBP1L,0.5789041709041407,81.58421182857116,10
EFNB1,0.5782905819978965,29.776636389302855,10
AL359232.1,0.5779715852633729,0.15431756830941443,10
CUTC,0.5779292658571497,20.899297789919224,10
WDR48,0.5770439995046254,31.365838008325372,10
RANBP10,0.576688614720085,18.23618485793225,10
FAM184A,0.5765313138061786,1.7353408649234736,10
WRN,0.5764230962102436,12.205978282439323,10
MYDGF,0.5762624035221715,179.14844954434432,10
MMP28,0.575251353586338,5.868533304294913,10
AL121987.1,0.5751329608571708,0.24925751182018693,10
DOK4,0.5750727277126528,14.412480084270559,10
FAM83F,0.5750258162972358,15.207703009628093,10
PEX1,0.5750069545208152,10.870318778777971,10
WSCD1,0.5749842709726064,0.8083510446212985,10
KCNRG,0.5745804066437785,0.7258133202741998,10
STX17,0.5745620914414468,15.32820508796341,10
CMTR2,0.5743790603074965,15.616762768961678,10
HOXC6,0.5741500840156317,8.980284153930363,10
FGF13,0.5738833814230966,1.7007159636278573,10
CDC37,0.5735637039341185,182.80272668628186,10
ZNF273,0.5735120487907429,3.43356073756102,10
RPL31,0.5731304370469946,416.2592264592296,10
CCRL2,0.572975133638386,4.449491990077085,10
LOXL1,0.5724609049409268,38.48047023092632,10
SYT3,0.5723040444409183,1.1099543080946155,10
LINC02371,0.5722151933918562,0.11263742620130203,10
DHRS11,0.5719538669655321,7.763422111881,10
ZNF516,0.5718714564625417,14.595460002758578,10
RFX2,0.5715624884359634,3.470776533528742,10
CECR2,0.571458458781694,8.902192327050402,10
CCDC136,0.5714360396150989,2.0400875638677687,10
RPL27A,0.571220724332939,370.73399189703497,10
ZNF610,0.5712004593914566,6.427460014594872,10
SLC44A1,0.5711118988195634,69.62050424255432,10
NUP210L,0.5705936974186976,0.20443162028762224,10
ZNF358,0.5703103390629485,59.108996232430584,10
B3GNT8,0.57029369510522,4.59566851687236,10
RCOR1,0.5698364536610645,32.01980189471664,10
USP6,0.5697757737843198,0.3643045124947497,10
FAM227A,0.5695482534302346,1.8631647144656966,10
ZNF738,0.5688253327694375,5.26159027262019,10
USP24,0.5687856783457752,29.964070913809554,10
VPS26A,0.5687461172253517,51.059912665693204,10
SLC39A7,0.5687194215557541,305.6327647378702,10
GPRC5D-AS1,0.5684375286056877,6.2574537147924145,10
AC022217.3,0.5683093795951557,0.2152506536845382,10
HES5,0.5682251166470756,0.8047103366917728,10
DRG1,0.5680476931152899,120.63166279343558,10
CCDC117,0.5680429714383346,161.66775024867496,10
ZNF461,0.5675646006475799,4.7536658810536885,10
DMD,0.5674928064195515,3.077564992649074,10
BTBD2,0.5666948187511842,52.007584243354074,10
LINC00664,0.5666254307084634,0.22231740994745056,10
AC107027.1,0.5664709329896249,0.12296012088112376,10
PTS,0.566350752216252,17.053850382749363,10
AC026412.3,0.5660374221530086,0.8688966695490615,10
AC107959.2,0.5653250624984731,0.05673838244366013,10
FCGR3B,0.5652825757272651,10.1760609469138,10
ARRDC4,0.565120784482988,63.63367977057866,10
RHOU,0.5650798590212618,33.97819219708486,10
SEMA4F,0.564921866676213,7.612515316338051,10
AC023302.1,0.5648889281474616,0.7920948720844341,10
ONECUT2,0.564827048515297,2.359029496250549,10
EXO5,0.5647895490259456,3.704526587826109,10
TXLNG,0.5647370164576391,32.37238211883976,10
ZNF143,0.5647353286045398,17.109813762885196,10
RAB22A,0.5642512386726595,59.22444420540915,10
